Country,CompanyType,YearsInOperation,AnnualRevenue,CompanySize,MainLogisticsChallenges,GCCShipmentFrequency,CurrentWarehousingSolution,CurrentDeliveryModel,PainPointsCurrentModel,TechAdoption,SustainabilityImportance,CarbonTracking,EcoPayExtra,EcoFeaturesMatterMost,LikelihoodToUseAIPlatform,MotivatorsToSwitch,ConcernsSwitching,WillingnessToSpendPerMonth,PilotProgramInterest
Qatar,Other,8+,"Less than 100,000",1–10,"Finding flexible warehouse space, Last-mile delivery costs",Monthly,Rented long-term,In-house,Environmental concerns,"Automated (IoT, AI-driven, warehouse management systems)",3,No,Yes,"Electric vehicles, Route optimization for less fuel",3,Faster deliveries,"Integration with existing systems, Reliability of new provider","5,001 – 10,000",Yes
Kuwait,SME Manufacturer,4-7,"500,001 – 1,000,000",51–200,"Last-mile delivery costs, Managing cross-border compliance",Monthly,Rented long-term,In-house,"Delays at borders, Difficult to scale, Lack of flexibility",Manual (spreadsheets/phone/email),1,No,No,Solar-powered warehouses,3,"Flexible contract terms, Lower costs",Data security/privacy,"500 – 1,000",Maybe
Kuwait,SME Manufacturer,1-3,"500,001 – 1,000,000",More than 200,"Carbon emissions / sustainability, Technology adoption",Monthly,On-demand (pay as you go),In-house,"High cost, Lack of flexibility",Basic software (inventory/ERP),5,No,Yes,"Green packaging, Route optimization for less fuel",5,"Flexible contract terms, Lower costs",Integration with existing systems,"500 – 1,000",Yes
Bahrain,SME Retailer,4-7,"500,001 – 1,000,000",11–50,"Other, Tracking shipments",Weekly,Third-party logistics (3PL),Mix of both,"High cost, Lack of flexibility",Basic software (inventory/ERP),3,No,Yes,"Electric vehicles, Route optimization for less fuel",3,"Lower costs, Sustainability features",Data security/privacy,"1,001 – 5,000",Maybe
UAE,SME Manufacturer,4-7,"100,000 – 500,000",11–50,"Finding flexible warehouse space, Last-mile delivery costs",Weekly,Third-party logistics (3PL),Mix of both,"Lack of flexibility, Poor visibility/tracking",Basic software (inventory/ERP),2,Yes,Maybe,Route optimization for less fuel,5,"Faster deliveries, Lower costs",Price transparency,"1,001 – 5,000",No
UAE,SME Retailer,1-3,"Less than 100,000",1–10,"Finding flexible warehouse space, Last-mile delivery costs",Weekly,Own warehouse,Mix of both,Lack of flexibility,Manual (spreadsheets/phone/email),3,No,Yes,Green packaging,2,"Lower costs, Sustainability features","Data security/privacy, Reliability of new provider","5,001 – 10,000",No
Saudi Arabia,E-commerce Brand,4-7,"100,000 – 500,000",11–50,"Finding flexible warehouse space, Managing cross-border compliance",Monthly,Own warehouse,Outsourced to 3PL,High cost,"Automated (IoT, AI-driven, warehouse management systems)",2,No,Maybe,Carbon offset options,4,"Faster deliveries, Lower costs","Data security/privacy, Reliability of new provider","1,001 – 5,000",Maybe
Qatar,Other,4-7,"Less than 100,000",11–50,"Other, Technology adoption",Daily,On-demand (pay as you go),Mix of both,"Environmental concerns, Poor visibility/tracking",Basic software (inventory/ERP),3,Yes,Maybe,Green packaging,2,Lower costs,Data security/privacy,"1,001 – 5,000",Maybe
UAE,SME Manufacturer,4-7,"500,001 – 1,000,000",1–10,"Finding flexible warehouse space, Other",Rarely,Third-party logistics (3PL),Outsourced to 3PL,Poor visibility/tracking,"Automated (IoT, AI-driven, warehouse management systems)",1,No,No,Solar-powered warehouses,1,"Better tracking/visibility, Lower costs",Data security/privacy,Less than 500,No
Saudi Arabia,E-commerce Brand,1-3,"500,001 – 1,000,000",51–200,"Technology adoption, Tracking shipments",Rarely,On-demand (pay as you go),Outsourced to 3PL,"Difficult to scale, High cost, Poor visibility/tracking",Manual (spreadsheets/phone/email),3,No,No,Carbon offset options,3,"Faster deliveries, Lower costs",Reliability of new provider,"500 – 1,000",Yes
Saudi Arabia,SME Manufacturer,Less than 1,"100,000 – 500,000",11–50,"Finding flexible warehouse space, Last-mile delivery costs",Monthly,On-demand (pay as you go),Mix of both,Delays at borders,Basic software (inventory/ERP),2,No,Yes,"Green packaging, Route optimization for less fuel",4,Lower costs,"Price transparency, Reliability of new provider",Less than 500,No
Qatar,SME Manufacturer,Less than 1,"100,000 – 500,000",51–200,"Finding flexible warehouse space, Other",Weekly,Own warehouse,In-house,"Delays at borders, Difficult to scale, High cost","Automated (IoT, AI-driven, warehouse management systems)",2,Yes,Maybe,Route optimization for less fuel,4,Lower costs,Data security/privacy,"1,001 – 5,000",Yes
Saudi Arabia,Logistics Provider,1-3,"500,001 – 1,000,000",1–10,"Finding flexible warehouse space, Technology adoption",Monthly,On-demand (pay as you go),No dedicated model,"Environmental concerns, High cost, Lack of flexibility",Manual (spreadsheets/phone/email),2,No,Yes,Route optimization for less fuel,5,"Flexible contract terms, Lower costs","Data security/privacy, Reliability of new provider","1,001 – 5,000",Maybe
Saudi Arabia,SME Retailer,8+,"Less than 100,000",11–50,"Carbon emissions / sustainability, Last-mile delivery costs",Monthly,Rented long-term,Outsourced to 3PL,High cost,Basic software (inventory/ERP),2,No,Maybe,Carbon offset options,4,Flexible contract terms,Data security/privacy,"1,001 – 5,000",Maybe
Saudi Arabia,Logistics Provider,1-3,"100,000 – 500,000",11–50,"Managing cross-border compliance, Tracking shipments",Weekly,Own warehouse,Mix of both,"Difficult to scale, Lack of flexibility, Poor visibility/tracking",Manual (spreadsheets/phone/email),5,Planning to,Maybe,Green packaging,3,"Better tracking/visibility, Sustainability features",Reliability of new provider,"500 – 1,000",Yes
Saudi Arabia,SME Retailer,8+,"500,001 – 1,000,000",11–50,"Last-mile delivery costs, Technology adoption",Monthly,On-demand (pay as you go),Mix of both,"High cost, Lack of flexibility","Automated (IoT, AI-driven, warehouse management systems)",4,No,Yes,Electric vehicles,4,Faster deliveries,"Data security/privacy, Price transparency","500 – 1,000",Yes
Saudi Arabia,SME Retailer,1-3,"Less than 100,000",11–50,"Finding flexible warehouse space, Technology adoption",Daily,Rented long-term,In-house,"Difficult to scale, High cost",Basic software (inventory/ERP),2,No,Maybe,"Carbon offset options, Green packaging",3,"Faster deliveries, Sustainability features",None,"500 – 1,000",Yes
Saudi Arabia,SME Retailer,8+,"Above 5,000,000",11–50,"Other, Tracking shipments",Daily,Third-party logistics (3PL),Outsourced to 3PL,"Environmental concerns, High cost, Lack of flexibility",Manual (spreadsheets/phone/email),4,No,Maybe,Electric vehicles,3,Better tracking/visibility,Data security/privacy,"1,001 – 5,000",No
Oman,SME Retailer,1-3,"100,000 – 500,000",More than 200,"Carbon emissions / sustainability, Last-mile delivery costs",Daily,Own warehouse,Mix of both,High cost,Basic software (inventory/ERP),3,No,Yes,Solar-powered warehouses,3,"Lower costs, Sustainability features",Reliability of new provider,"1,001 – 5,000",No
Qatar,E-commerce Brand,8+,"100,000 – 500,000",51–200,"Carbon emissions / sustainability, Technology adoption",Daily,Third-party logistics (3PL),Mix of both,Delays at borders,Manual (spreadsheets/phone/email),3,No,Maybe,Solar-powered warehouses,3,Flexible contract terms,Integration with existing systems,Less than 500,Yes
Saudi Arabia,SME Retailer,Less than 1,"500,001 – 1,000,000",1–10,"Finding flexible warehouse space, Last-mile delivery costs",Weekly,Own warehouse,In-house,"Delays at borders, High cost",Basic software (inventory/ERP),2,No,Yes,Electric vehicles,3,"Faster deliveries, Lower costs",Reliability of new provider,"5,001 – 10,000",Yes
Qatar,SME Manufacturer,4-7,"100,000 – 500,000",More than 200,"Carbon emissions / sustainability, Finding flexible warehouse space",Weekly,On-demand (pay as you go),In-house,"Environmental concerns, High cost, Lack of flexibility",Basic software (inventory/ERP),2,No,Maybe,"Electric vehicles, Route optimization for less fuel",4,Faster deliveries,"Integration with existing systems, Reliability of new provider","500 – 1,000",Yes
UAE,Logistics Provider,8+,"100,000 – 500,000",51–200,"Finding flexible warehouse space, Other",Weekly,Third-party logistics (3PL),In-house,Lack of flexibility,"Automated (IoT, AI-driven, warehouse management systems)",1,Yes,No,"Route optimization for less fuel, Solar-powered warehouses",3,Lower costs,Integration with existing systems,"1,001 – 5,000",Maybe
UAE,E-commerce Brand,8+,"500,001 – 1,000,000",51–200,"Carbon emissions / sustainability, Finding flexible warehouse space",Weekly,Rented long-term,Mix of both,"Environmental concerns, High cost, Poor visibility/tracking",Basic software (inventory/ERP),2,Planning to,Yes,"Electric vehicles, Route optimization for less fuel",3,"Flexible contract terms, Lower costs",Reliability of new provider,"1,001 – 5,000",Yes
Saudi Arabia,E-commerce Brand,8+,"500,001 – 1,000,000",More than 200,"Finding flexible warehouse space, Tracking shipments",Weekly,Own warehouse,Outsourced to 3PL,High cost,Basic software (inventory/ERP),2,No,No,"Green packaging, Route optimization for less fuel",3,Lower costs,"Price transparency, Reliability of new provider","1,001 – 5,000",Maybe
Oman,Logistics Provider,4-7,"100,000 – 500,000",More than 200,"Finding flexible warehouse space, Last-mile delivery costs",Weekly,Own warehouse,No dedicated model,"Difficult to scale, High cost, Lack of flexibility","Automated (IoT, AI-driven, warehouse management systems)",4,No,Yes,Green packaging,4,"Better tracking/visibility, Faster deliveries",Reliability of new provider,"500 – 1,000",Maybe
UAE,E-commerce Brand,8+,"500,001 – 1,000,000",More than 200,"Finding flexible warehouse space, Tracking shipments",Monthly,None,No dedicated model,"Delays at borders, Difficult to scale, High cost",Basic software (inventory/ERP),1,No,No,"Green packaging, Route optimization for less fuel",4,"Faster deliveries, Lower costs",Integration with existing systems,"500 – 1,000",Maybe
Saudi Arabia,SME Retailer,8+,"500,001 – 1,000,000",1–10,"Finding flexible warehouse space, Managing cross-border compliance",Weekly,On-demand (pay as you go),Outsourced to 3PL,"Difficult to scale, High cost, Lack of flexibility",Basic software (inventory/ERP),1,No,Yes,Green packaging,5,Lower costs,None,Less than 500,No
Saudi Arabia,E-commerce Brand,4-7,"500,001 – 1,000,000",1–10,"Finding flexible warehouse space, Technology adoption",Monthly,Own warehouse,Outsourced to 3PL,Lack of flexibility,Manual (spreadsheets/phone/email),2,No,Maybe,Carbon offset options,4,"Flexible contract terms, Lower costs","Price transparency, Reliability of new provider",Less than 500,Yes
UAE,E-commerce Brand,1-3,"Less than 100,000",More than 200,"Finding flexible warehouse space, Other",Daily,None,Outsourced to 3PL,"Delays at borders, Difficult to scale, High cost",Manual (spreadsheets/phone/email),2,No,Maybe,"Electric vehicles, Solar-powered warehouses",2,Lower costs,"Data security/privacy, Integration with existing systems",Less than 500,Yes
Kuwait,E-commerce Brand,4-7,"500,001 – 1,000,000",1–10,"Last-mile delivery costs, Managing cross-border compliance",Weekly,Own warehouse,No dedicated model,"High cost, Lack of flexibility","Automated (IoT, AI-driven, warehouse management systems)",4,No,Yes,"Electric vehicles, Solar-powered warehouses",4,"Better tracking/visibility, Lower costs","None, Price transparency","500 – 1,000",No
Saudi Arabia,E-commerce Brand,8+,"100,000 – 500,000",51–200,"Finding flexible warehouse space, Last-mile delivery costs",Rarely,Own warehouse,Outsourced to 3PL,"Delays at borders, Lack of flexibility",Manual (spreadsheets/phone/email),2,Yes,No,Electric vehicles,3,"Lower costs, Sustainability features","Integration with existing systems, Price transparency",Less than 500,No
Saudi Arabia,SME Manufacturer,8+,"500,001 – 1,000,000",11–50,"Last-mile delivery costs, Managing cross-border compliance",Daily,Own warehouse,Outsourced to 3PL,Environmental concerns,Basic software (inventory/ERP),2,Planning to,No,Electric vehicles,3,Lower costs,Data security/privacy,"500 – 1,000",Yes
UAE,SME Manufacturer,4-7,"1,000,001 – 5,000,000",1–10,"Carbon emissions / sustainability, Finding flexible warehouse space",Monthly,Own warehouse,In-house,"Delays at borders, Difficult to scale, Environmental concerns",Basic software (inventory/ERP),3,No,No,Green packaging,5,Sustainability features,None,"500 – 1,000",No
UAE,SME Manufacturer,4-7,"Less than 100,000",More than 200,"Finding flexible warehouse space, Managing cross-border compliance",Rarely,Third-party logistics (3PL),In-house,High cost,Basic software (inventory/ERP),2,No,Yes,"Green packaging, Solar-powered warehouses",3,"Better tracking/visibility, Faster deliveries","Data security/privacy, None",Less than 500,Yes
UAE,SME Manufacturer,4-7,"100,000 – 500,000",1–10,"Managing cross-border compliance, Tracking shipments",Weekly,Rented long-term,No dedicated model,High cost,Basic software (inventory/ERP),3,No,No,"Electric vehicles, Route optimization for less fuel",2,"Lower costs, Sustainability features",Price transparency,"500 – 1,000",No
Saudi Arabia,SME Manufacturer,4-7,"Less than 100,000",1–10,"Carbon emissions / sustainability, Other",Monthly,On-demand (pay as you go),Mix of both,"Environmental concerns, High cost",Basic software (inventory/ERP),3,Yes,Yes,"Green packaging, Route optimization for less fuel",3,Lower costs,"None, Price transparency","500 – 1,000",No
UAE,Logistics Provider,1-3,"Above 5,000,000",1–10,"Managing cross-border compliance, Tracking shipments",Weekly,On-demand (pay as you go),Outsourced to 3PL,"Environmental concerns, High cost, Lack of flexibility",Basic software (inventory/ERP),3,No,No,"Carbon offset options, Green packaging",3,Lower costs,Price transparency,"1,001 – 5,000",Yes
UAE,E-commerce Brand,1-3,"100,000 – 500,000",51–200,"Finding flexible warehouse space, Last-mile delivery costs",Monthly,Own warehouse,In-house,"Delays at borders, High cost",Basic software (inventory/ERP),2,Yes,Yes,"Carbon offset options, Solar-powered warehouses",2,Better tracking/visibility,"None, Reliability of new provider","1,001 – 5,000",Maybe
UAE,SME Retailer,4-7,"500,001 – 1,000,000",More than 200,"Managing cross-border compliance, Technology adoption",Weekly,Own warehouse,Mix of both,"Difficult to scale, High cost, Lack of flexibility",Basic software (inventory/ERP),1,No,No,Electric vehicles,3,Faster deliveries,"None, Reliability of new provider","1,001 – 5,000",Yes
Qatar,SME Manufacturer,1-3,"Less than 100,000",51–200,"Finding flexible warehouse space, Tracking shipments",Weekly,Rented long-term,No dedicated model,"Difficult to scale, High cost, Lack of flexibility",Manual (spreadsheets/phone/email),1,No,No,Electric vehicles,1,Lower costs,Data security/privacy,"More than 10,000",Maybe
UAE,E-commerce Brand,8+,"Less than 100,000",More than 200,"Last-mile delivery costs, Tracking shipments",Monthly,Third-party logistics (3PL),No dedicated model,"Delays at borders, Lack of flexibility",Basic software (inventory/ERP),2,No,Yes,Solar-powered warehouses,3,"Faster deliveries, Lower costs",Data security/privacy,"500 – 1,000",No
Oman,E-commerce Brand,4-7,"Less than 100,000",More than 200,"Carbon emissions / sustainability, Finding flexible warehouse space",Rarely,On-demand (pay as you go),In-house,"High cost, Poor visibility/tracking",Basic software (inventory/ERP),4,No,Maybe,Electric vehicles,5,"Faster deliveries, Lower costs","Data security/privacy, Integration with existing systems","500 – 1,000",No
Qatar,E-commerce Brand,1-3,"1,000,001 – 5,000,000",11–50,"Last-mile delivery costs, Technology adoption",Weekly,On-demand (pay as you go),No dedicated model,"High cost, Lack of flexibility, Poor visibility/tracking",Basic software (inventory/ERP),2,Planning to,Yes,"Electric vehicles, Solar-powered warehouses",2,"Faster deliveries, Lower costs",Reliability of new provider,Less than 500,Yes
UAE,Logistics Provider,4-7,"Less than 100,000",51–200,"Finding flexible warehouse space, Managing cross-border compliance",Daily,Rented long-term,Outsourced to 3PL,"Difficult to scale, High cost, Lack of flexibility",Manual (spreadsheets/phone/email),2,Planning to,Maybe,"Green packaging, Solar-powered warehouses",3,Lower costs,"Data security/privacy, Reliability of new provider","1,001 – 5,000",Yes
UAE,Other,8+,"100,000 – 500,000",More than 200,"Finding flexible warehouse space, Last-mile delivery costs",Rarely,On-demand (pay as you go),No dedicated model,Poor visibility/tracking,Manual (spreadsheets/phone/email),2,No,Maybe,"Carbon offset options, Electric vehicles",2,"Better tracking/visibility, Lower costs","Data security/privacy, Reliability of new provider","5,001 – 10,000",Maybe
Saudi Arabia,Logistics Provider,Less than 1,"100,000 – 500,000",More than 200,"Finding flexible warehouse space, Other",Weekly,Rented long-term,Mix of both,"High cost, Poor visibility/tracking",Manual (spreadsheets/phone/email),3,No,Maybe,"Carbon offset options, Green packaging",2,Lower costs,"Integration with existing systems, Reliability of new provider","500 – 1,000",Maybe
Oman,E-commerce Brand,1-3,"100,000 – 500,000",11–50,"Finding flexible warehouse space, Last-mile delivery costs",Rarely,Own warehouse,Mix of both,"High cost, Poor visibility/tracking",Manual (spreadsheets/phone/email),3,Yes,Maybe,"Electric vehicles, Route optimization for less fuel",5,Faster deliveries,"Data security/privacy, Price transparency","1,001 – 5,000",Yes
Saudi Arabia,SME Retailer,1-3,"1,000,001 – 5,000,000",11–50,"Finding flexible warehouse space, Last-mile delivery costs",Monthly,Own warehouse,In-house,High cost,Basic software (inventory/ERP),2,No,No,"Green packaging, Solar-powered warehouses",3,"Faster deliveries, Lower costs",Price transparency,Less than 500,Yes
UAE,SME Manufacturer,4-7,"Less than 100,000",More than 200,"Last-mile delivery costs, Tracking shipments",Monthly,Own warehouse,Outsourced to 3PL,"Difficult to scale, High cost, Lack of flexibility",Manual (spreadsheets/phone/email),4,No,Yes,Solar-powered warehouses,5,Lower costs,Reliability of new provider,"500 – 1,000",Maybe
Saudi Arabia,SME Retailer,8+,"1,000,001 – 5,000,000",More than 200,"Carbon emissions / sustainability, Finding flexible warehouse space",Daily,Rented long-term,Mix of both,Environmental concerns,"Automated (IoT, AI-driven, warehouse management systems)",2,No,Yes,"Carbon offset options, Green packaging",1,Better tracking/visibility,Data security/privacy,Less than 500,Yes
Saudi Arabia,SME Manufacturer,1-3,"Less than 100,000",More than 200,"Carbon emissions / sustainability, Other",Weekly,Rented long-term,Mix of both,Delays at borders,Basic software (inventory/ERP),3,No,Yes,Route optimization for less fuel,2,Faster deliveries,Data security/privacy,"500 – 1,000",Yes
Saudi Arabia,E-commerce Brand,8+,"100,000 – 500,000",More than 200,"Other, Technology adoption",Weekly,On-demand (pay as you go),In-house,"Difficult to scale, High cost, Lack of flexibility",Basic software (inventory/ERP),1,No,Yes,Electric vehicles,2,"Faster deliveries, Lower costs",None,"500 – 1,000",Maybe
Bahrain,SME Retailer,1-3,"Less than 100,000",More than 200,"Managing cross-border compliance, Tracking shipments",Rarely,Rented long-term,Outsourced to 3PL,"Delays at borders, Poor visibility/tracking","Automated (IoT, AI-driven, warehouse management systems)",3,Planning to,Yes,Electric vehicles,3,Faster deliveries,"Price transparency, Reliability of new provider","1,001 – 5,000",Maybe
Qatar,Logistics Provider,4-7,"1,000,001 – 5,000,000",51–200,"Finding flexible warehouse space, Technology adoption",Daily,Rented long-term,Mix of both,"High cost, Lack of flexibility",Manual (spreadsheets/phone/email),1,No,No,Solar-powered warehouses,3,Lower costs,Reliability of new provider,Less than 500,No
Saudi Arabia,SME Retailer,4-7,"Less than 100,000",51–200,"Finding flexible warehouse space, Last-mile delivery costs",Monthly,Own warehouse,Outsourced to 3PL,Lack of flexibility,Manual (spreadsheets/phone/email),3,No,No,"Carbon offset options, Electric vehicles",3,Faster deliveries,"None, Price transparency","1,001 – 5,000",Yes
Saudi Arabia,SME Retailer,8+,"500,001 – 1,000,000",11–50,"Last-mile delivery costs, Other",Daily,On-demand (pay as you go),Mix of both,"High cost, Lack of flexibility",Basic software (inventory/ERP),1,No,Maybe,Solar-powered warehouses,1,Sustainability features,"None, Price transparency","500 – 1,000",Maybe
UAE,E-commerce Brand,8+,"Less than 100,000",11–50,"Carbon emissions / sustainability, Last-mile delivery costs",Weekly,Own warehouse,In-house,Environmental concerns,Basic software (inventory/ERP),5,Yes,Maybe,Electric vehicles,3,Lower costs,Price transparency,Less than 500,Yes
UAE,SME Manufacturer,1-3,"100,000 – 500,000",51–200,"Managing cross-border compliance, Other",Daily,Third-party logistics (3PL),Mix of both,"Lack of flexibility, Poor visibility/tracking",Basic software (inventory/ERP),3,No,No,"Electric vehicles, Green packaging",2,"Flexible contract terms, Lower costs","Integration with existing systems, Reliability of new provider","500 – 1,000",Yes
Bahrain,E-commerce Brand,1-3,"1,000,001 – 5,000,000",11–50,"Last-mile delivery costs, Other",Rarely,Own warehouse,In-house,"Difficult to scale, High cost, Poor visibility/tracking",Basic software (inventory/ERP),1,No,Yes,Green packaging,3,"Better tracking/visibility, Flexible contract terms",Price transparency,"More than 10,000",Maybe
UAE,Other,1-3,"500,001 – 1,000,000",51–200,"Finding flexible warehouse space, Technology adoption",Monthly,On-demand (pay as you go),Mix of both,"Difficult to scale, High cost, Lack of flexibility",Basic software (inventory/ERP),3,Planning to,No,Solar-powered warehouses,4,Lower costs,Reliability of new provider,Less than 500,Yes
UAE,SME Manufacturer,Less than 1,"1,000,001 – 5,000,000",51–200,"Last-mile delivery costs, Managing cross-border compliance",Monthly,Own warehouse,In-house,"Delays at borders, High cost, Lack of flexibility",Basic software (inventory/ERP),3,Planning to,Maybe,"Carbon offset options, Electric vehicles",3,Lower costs,"Data security/privacy, Price transparency","500 – 1,000",No
Saudi Arabia,Other,1-3,"Less than 100,000",11–50,"Finding flexible warehouse space, Managing cross-border compliance",Monthly,On-demand (pay as you go),Mix of both,"Delays at borders, Difficult to scale, High cost",Manual (spreadsheets/phone/email),3,Planning to,No,"Electric vehicles, Route optimization for less fuel",3,Lower costs,Reliability of new provider,"1,001 – 5,000",Yes
Saudi Arabia,Logistics Provider,4-7,"Above 5,000,000",More than 200,"Managing cross-border compliance, Tracking shipments",Weekly,Own warehouse,Mix of both,"Delays at borders, High cost, Lack of flexibility",Manual (spreadsheets/phone/email),1,No,Yes,Solar-powered warehouses,4,Lower costs,None,Less than 500,Yes
Kuwait,E-commerce Brand,Less than 1,"1,000,001 – 5,000,000",More than 200,"Carbon emissions / sustainability, Finding flexible warehouse space",Weekly,None,In-house,Lack of flexibility,Manual (spreadsheets/phone/email),3,No,Maybe,"Electric vehicles, Green packaging",3,Lower costs,Integration with existing systems,Less than 500,Maybe
Saudi Arabia,E-commerce Brand,1-3,"500,001 – 1,000,000",11–50,"Finding flexible warehouse space, Managing cross-border compliance",Rarely,Third-party logistics (3PL),No dedicated model,"Lack of flexibility, Poor visibility/tracking","Automated (IoT, AI-driven, warehouse management systems)",3,No,No,"Electric vehicles, Green packaging",5,"Faster deliveries, Sustainability features",Reliability of new provider,"500 – 1,000",Maybe
Qatar,SME Manufacturer,4-7,"Less than 100,000",11–50,"Finding flexible warehouse space, Technology adoption",Daily,Own warehouse,In-house,"Delays at borders, Difficult to scale, Environmental concerns",Manual (spreadsheets/phone/email),1,Planning to,Yes,Green packaging,3,Faster deliveries,Integration with existing systems,"500 – 1,000",No
Saudi Arabia,Logistics Provider,Less than 1,"500,001 – 1,000,000",11–50,"Finding flexible warehouse space, Last-mile delivery costs",Weekly,Own warehouse,In-house,High cost,"Automated (IoT, AI-driven, warehouse management systems)",2,Yes,No,Green packaging,4,"Lower costs, Sustainability features",Reliability of new provider,"5,001 – 10,000",Maybe
Saudi Arabia,Logistics Provider,8+,"100,000 – 500,000",1–10,"Finding flexible warehouse space, Last-mile delivery costs",Monthly,None,Mix of both,"Environmental concerns, Lack of flexibility, Poor visibility/tracking","Automated (IoT, AI-driven, warehouse management systems)",1,Planning to,Yes,Green packaging,3,Lower costs,"None, Reliability of new provider","500 – 1,000",Yes
Kuwait,Logistics Provider,4-7,"100,000 – 500,000",More than 200,"Carbon emissions / sustainability, Finding flexible warehouse space",Weekly,Own warehouse,In-house,"Delays at borders, Difficult to scale, High cost",Basic software (inventory/ERP),2,No,Maybe,"Green packaging, Solar-powered warehouses",5,"Better tracking/visibility, Lower costs",Data security/privacy,"500 – 1,000",No
Qatar,SME Manufacturer,4-7,"1,000,001 – 5,000,000",11–50,"Finding flexible warehouse space, Tracking shipments",Weekly,On-demand (pay as you go),In-house,"Delays at borders, High cost, Poor visibility/tracking",Basic software (inventory/ERP),3,No,No,Solar-powered warehouses,4,"Better tracking/visibility, Lower costs","Data security/privacy, Integration with existing systems","5,001 – 10,000",Yes
Qatar,E-commerce Brand,4-7,"500,001 – 1,000,000",11–50,"Managing cross-border compliance, Tracking shipments",Weekly,Own warehouse,In-house,"Difficult to scale, High cost",Manual (spreadsheets/phone/email),4,No,Yes,"Carbon offset options, Solar-powered warehouses",2,Faster deliveries,"Integration with existing systems, Price transparency",Less than 500,Yes
Saudi Arabia,SME Manufacturer,1-3,"100,000 – 500,000",11–50,"Finding flexible warehouse space, Last-mile delivery costs",Weekly,Own warehouse,Outsourced to 3PL,High cost,Basic software (inventory/ERP),3,No,No,"Route optimization for less fuel, Solar-powered warehouses",5,"Faster deliveries, Flexible contract terms","Price transparency, Reliability of new provider",Less than 500,Yes
Kuwait,Logistics Provider,1-3,"Less than 100,000",More than 200,"Managing cross-border compliance, Other",Monthly,Own warehouse,Mix of both,"Environmental concerns, Lack of flexibility",Basic software (inventory/ERP),3,Yes,Yes,Carbon offset options,4,"Flexible contract terms, Lower costs","Data security/privacy, Reliability of new provider","500 – 1,000",Yes
Qatar,Logistics Provider,1-3,"Less than 100,000",11–50,"Finding flexible warehouse space, Technology adoption",Weekly,Rented long-term,Outsourced to 3PL,Lack of flexibility,Basic software (inventory/ERP),3,Planning to,Maybe,Solar-powered warehouses,4,Flexible contract terms,Price transparency,"500 – 1,000",Maybe
UAE,Other,Less than 1,"100,000 – 500,000",More than 200,"Last-mile delivery costs, Technology adoption",Weekly,On-demand (pay as you go),Mix of both,"Environmental concerns, High cost, Lack of flexibility",Basic software (inventory/ERP),2,No,Yes,"Electric vehicles, Route optimization for less fuel",4,Lower costs,None,"500 – 1,000",Maybe
Saudi Arabia,SME Manufacturer,1-3,"500,001 – 1,000,000",More than 200,"Carbon emissions / sustainability, Last-mile delivery costs",Daily,Own warehouse,Mix of both,"High cost, Lack of flexibility",Manual (spreadsheets/phone/email),1,No,No,"Electric vehicles, Green packaging",2,Lower costs,Reliability of new provider,"500 – 1,000",Maybe
Saudi Arabia,E-commerce Brand,8+,"Less than 100,000",11–50,"Carbon emissions / sustainability, Last-mile delivery costs",Weekly,Rented long-term,In-house,Environmental concerns,Manual (spreadsheets/phone/email),4,No,No,Green packaging,5,"Faster deliveries, Sustainability features",None,"5,001 – 10,000",Yes
Saudi Arabia,Logistics Provider,4-7,"100,000 – 500,000",More than 200,"Carbon emissions / sustainability, Managing cross-border compliance",Daily,On-demand (pay as you go),Mix of both,"High cost, Poor visibility/tracking",Basic software (inventory/ERP),3,Planning to,No,Carbon offset options,4,Flexible contract terms,None,Less than 500,Yes
Oman,Logistics Provider,1-3,"500,001 – 1,000,000",More than 200,"Carbon emissions / sustainability, Managing cross-border compliance",Weekly,Rented long-term,In-house,Lack of flexibility,"Automated (IoT, AI-driven, warehouse management systems)",3,Yes,No,Green packaging,4,Faster deliveries,"Data security/privacy, None",Less than 500,No
UAE,SME Manufacturer,1-3,"1,000,001 – 5,000,000",11–50,"Last-mile delivery costs, Tracking shipments",Daily,Rented long-term,In-house,"Difficult to scale, Lack of flexibility",Basic software (inventory/ERP),4,No,No,"Electric vehicles, Solar-powered warehouses",3,Lower costs,Data security/privacy,"500 – 1,000",Yes
UAE,SME Manufacturer,8+,"1,000,001 – 5,000,000",11–50,"Last-mile delivery costs, Technology adoption",Monthly,On-demand (pay as you go),Mix of both,High cost,Manual (spreadsheets/phone/email),1,No,No,Green packaging,3,Sustainability features,"Data security/privacy, Integration with existing systems",Less than 500,No
UAE,E-commerce Brand,4-7,"Above 5,000,000",11–50,"Finding flexible warehouse space, Technology adoption",Weekly,Own warehouse,No dedicated model,Delays at borders,Basic software (inventory/ERP),2,No,Maybe,Solar-powered warehouses,2,"Flexible contract terms, Lower costs",None,"1,001 – 5,000",No
Qatar,Logistics Provider,1-3,"Less than 100,000",1–10,"Finding flexible warehouse space, Tracking shipments",Weekly,On-demand (pay as you go),In-house,"Delays at borders, High cost, Lack of flexibility",Manual (spreadsheets/phone/email),3,Planning to,No,Green packaging,4,Lower costs,"Data security/privacy, Reliability of new provider","500 – 1,000",Yes
